Transaction ID,Date,Customer ID,Gender,Age,Product Category,Sub-Category,City,ASM,RSM,Region,Quantity,Price per Unit,Taxable Amount,Profit,Discount,Total Amount
522,01-01-2022,CUST6042,Male,46,Beauty,Dry Products,Nagpur,Ganesh,Deepesh Chauhan,West,3,1432,4296,601,11%,3823
522,01-01-2022,CUST522,Male,46,Beauty,Oils,Nagpur,Ganesh,Deepesh Chauhan,West,3,1298,3894,506,12%,3426
522,01-01-2022,CUST522,Male,46,Beauty,Creams,Nagpur,Ganesh,Deepesh Chauhan,West,3,979,2937,353,13%,2555
180,01-01-2022,CUST5358,Male,41,Clothing,Caps,Indore,Jansagar,Deepesh Chauhan,West,3,1311,3933,236,19%,3185
559,01-01-2022,CUST6116,Female,40,Clothing,Caps,Kanpur,Ramash,Vishnu Dixit,North,4,984,3936,275,18%,3227
180,01-01-2022,CUST180,Male,41,Clothing,Joggers,Kolkata,Debojit,Ajit yadav,East,3,1196,3588,538,10%,3229
559,01-01-2022,CUST559,Female,40,Clothing,Joggers,Nagpur,Ganesh,Deepesh Chauhan,West,4,1499,5996,359,19%,4856
180,01-01-2022,CUST180,Male,41,Clothing,Caps,Latur,Rakesh,Deepesh Chauhan,West,3,1129,3387,474,11%,3014
559,01-01-2022,CUST559,Female,40,Clothing,Shirt,Vizag,Mahesh,Sukhsagar,South,4,754,3016,452,10%,2714
979,02-01-2022,CUST979,Female,19,Beauty,Dry Products,Latur,Rakesh,Deepesh Chauhan,West,1,595,595,41,18%,487
979,02-01-2022,CUST979,Female,19,Beauty,Dry Products,Latur,Rakesh,Deepesh Chauhan,West,1,588,588,35,19%,476
979,02-01-2022,CUST979,Female,19,Beauty,Oils,Latur,Rakesh,Deepesh Chauhan,West,1,622,622,93,10%,559
163,02-01-2022,CUST5324,Female,64,Clothing,Shirt,Vizag,Mahesh,Sukhsagar,South,3,627,1881,245,12%,1655
421,02-01-2022,CUST5840,Female,37,Clothing,Joggers,Kolkata,Debojit,Ajit yadav,East,3,860,2580,387,10%,2322
163,02-01-2022,CUST163,Female,64,Clothing,Top,Ernakulam,Mahesh,Sukhsagar,South,3,1129,3387,406,13%,2946
421,02-01-2022,CUST421,Female,37,Clothing,Caps,Latur,Rakesh,Deepesh Chauhan,West,3,1112,3336,467,11%,2969
163,02-01-2022,CUST163,Female,64,Clothing,Shirt,Tripur,Mahesh,Sukhsagar,South,3,1006,3018,332,14%,2595
421,02-01-2022,CUST421,Female,37,Clothing,Joggers,Lucknow,Ramash,Vishnu Dixit,North,3,1150,3450,449,12%,3036
303,02-01-2022,CUST5604,Male,19,Electronics,Gadgets,Nagpur,Ganesh,Deepesh Chauhan,West,3,1362,4086,531,12%,3595
303,02-01-2022,CUST303,Male,19,Electronics,Gadgets,Jaipur,Ankur,Vishnu Dixit,North,3,1214,3642,437,13%,3168
303,02-01-2022,CUST303,Male,19,Electronics,Gadgets,Lucknow,Ramash,Vishnu Dixit,North,3,1302,3906,430,14%,3359
610,03-01-2022,CUST610,Female,26,Beauty,Oils,Kanpur,Ramash,Vishnu Dixit,North,2,1106,2212,132,19%,1791
610,03-01-2022,CUST610,Female,26,Beauty,Creams,Kanpur,Ramash,Vishnu Dixit,North,2,579,1158,174,10%,1042
610,03-01-2022,CUST610,Female,26,Beauty,Appliance,Kanpur,Ramash,Vishnu Dixit,North,2,1191,2382,333,11%,2119
